EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName
62.125,-2.625,-23.6875,-0.83795166,-0.188171387,0.085510254,0.505065918,0,-0.14,-0.2,-0.44,3.94,8.96,0.235943624,-0.02192819,-0.034815613,0,Relax
61.625,-2.3125,-24.0625,-0.83972168,-0.189697266,0.088989258,0.500915527,0.13,-0.07,0.01,-0.39,4,8.94,0.228987913,-0.030887719,-0.034558543,0,Relax
61.4375,-2,-24.25,-0.840148926,-0.189697266,0.091918945,0.499755859,0.15,-0.22,-0.09,-0.34,4.02,8.93,0.222464008,-0.045039242,-0.028279676,0,Relax
61.4375,-1.625,-24.5,-0.839782715,-0.189819336,0.096008301,0.499511719,0.21,0.37,0.14,-0.27,4.06,8.91,0.225340187,-0.046172297,-0.029263458,0,Relax
60.9375,-1.625,-24.375,-0.842285156,-0.189758301,0.094543457,0.495605469,0.19,0.12,-0.01,-0.28,4.05,8.92,0.226566221,-0.017391255,-0.007327038,0,Relax
60.1875,-1.3125,-24.25,-0.845703125,-0.188110352,0.095214844,0.490234375,0.16,-0.19,-0.2,-0.22,4.03,8.93,0.228374595,-0.035078524,-0.019706085,0,Relax
60.3125,-1,-24.6875,-0.844421387,-0.189697266,0.099731445,0.490905762,0.05,0.04,-0.03,-0.17,4.1,8.9,0.214686386,-0.036674937,-0.021033379,0,Relax
60.1875,-0.9375,-24.875,-0.844726563,-0.190795898,0.100891113,0.489746094,0.3,-0.04,-0.01,-0.16,4.12,8.89,0.210107184,-0.039432294,-0.01925904,0,Relax
59.625,-1,-24.75,-0.847290039,-0.190551758,0.098754883,0.485900879,0.18,0.01,0.15,-0.17,4.1,8.9,0.210951399,-0.037726219,-0.008765684,0,Relax
59.0625,-0.9375,-24.75,-0.849609375,-0.191040039,0.098083496,0.481750488,0.08,-0.02,-0.14,-0.16,4.11,8.9,0.200814402,-0.033038865,-0.006275003,0,Relax
