Timestamp,EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,TemperatureInCelcius,SystemCalibration,GyroCalibration,AccelerometerCalibration,MagnotometerCalibration,BatteryLevel,Received,Skipped,DateTime,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName,Bad
1568236,14.75,20.5,-102.4375,-0.6263427734375,-0.68212890625,0.3685302734375,0.0811767578125,-0.03,0.03,0.13,3.44,8.96,-1.98,29,1,3,3,2,0,290,535,2016-08-23 12:08:07.324,0.0140102028766862,-0.000838629477074638,-0.0250366728351488,0,Relax,
1568336,15.1875,20.4375,-102.125,-0.62799072265625,-0.679931640625,0.3692626953125,0.08380126953125,-0.06,0.06,-0.05,3.43,8.98,-1.93,29,1,3,3,2,0,300,535,2016-08-23 12:08:07.424,0.00863044779408879,-0.000680161092879371,-0.00110388962569388,0,Relax,
1568436,15.25,20.4375,-101.8125,-0.62969970703125,-0.678466796875,0.36883544921875,0.08453369140625,-0.04,0,0.13,3.43,8.99,-1.88,29,1,3,3,2,0,310,535,2016-08-23 12:08:07.524,0.0104350544152397,-0.00129881486273109,0.00279674037943643,0,Relax,
1568536,15.1875,20.5,-101.4375,-0.63238525390625,-0.67669677734375,0.36749267578125,0.08447265625,-0.02,0,0.08,3.43,9,-1.82,29,1,3,3,2,0,320,535,2016-08-23 12:08:07.624,0.0105033498236365,-0.00233412903655285,0.00428919867507183,0,Relax,
1568636,15,20.5625,-101.375,-0.6329345703125,-0.67669677734375,0.36676025390625,0.08349609375,-0.03,0,0.04,3.44,9,-1.81,29,1,3,3,2,0,330,535,2016-08-23 12:08:07.724,0.00895281874584221,-0.00191361187192835,0.00425077073112517,0,Relax,
1568736,14.75,20.625,-101.375,-0.6331787109375,-0.677001953125,0.36602783203125,0.0821533203125,-0.03,0.05,0.03,3.45,8.99,-1.81,29,1,3,3,2,0,340,535,2016-08-23 12:08:07.824,0.00894640290950049,-0.00278705044300469,0.00364496698392511,0,Relax,
1568836,14.4375,20.625,-101.4375,-0.63275146484375,-0.67822265625,0.36505126953125,0.0802001953125,0.01,0.02,0.03,3.46,8.99,-1.82,29,1,3,3,2,0,350,535,2016-08-23 12:08:07.924,0.0109626061187604,-0.00482979054515132,0.00276358757664895,0,Relax,
1568936,14.125,20.6875,-101.5625,-0.63250732421875,-0.67913818359375,0.36407470703125,0.07861328125,-0.01,-0.01,0.03,3.46,8.98,-1.83,29,1,3,3,2,0,360,535,2016-08-23 12:08:08.024,0.0142430890290307,-0.00430632583681792,0.00213813762060285,0,Relax,
1569036,14,20.6875,-101.5625,-0.63226318359375,-0.67962646484375,0.36376953125,0.077880859375,0,0,0.05,3.47,8.98,-1.84,29,1,3,3,2,0,370,535,2016-08-23 12:08:08.124,0.0170265587274594,-0.00347112353211571,0.00119931306714317,0,Relax,
1569136,14.1875,20.6875,-101.25,-0.63446044921875,-0.6778564453125,0.36297607421875,0.07904052734375,0,-0.01,0.19,3.46,8.99,-1.78,29,1,3,3,2,0,380,535,2016-08-23 12:08:08.224,0.0184764949734721,-0.00472818218166728,-0.000467207356132349,0,Relax,
1569236,14.25,20.625,-101.125,-0.63531494140625,-0.6771240234375,0.36273193359375,0.07952880859375,0,-0.04,0.01,3.46,9,-1.76,29,1,3,3,2,0,390,535,2016-08-23 12:08:08.324,0.0205385960151021,-0.00389505933532123,-0.00195843840818442,0,Relax,
1569336,14.25,20.625,-101,-0.6357421875,-0.677001953125,0.362060546875,0.07977294921875,-0.05,0.07,-0.1,3.45,9,-1.75,29,1,3,3,2,0,400,535,2016-08-23 12:08:08.424,0.0152438317556275,-0.00376709485999431,-0.00239299750275993,0,Relax,
1569436,14.375,20.625,-100.8125,-0.63677978515625,-0.67584228515625,0.36224365234375,0.08050537109375,-0.06,-0.04,0.04,3.45,9.01,-1.72,29,1,3,3,2,0,410,535,2016-08-23 12:08:08.524,0.0117004620378233,-0.00746419822126857,0.0025173919298549,0,Relax,
